2023-01-19 23:25:53.483 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
2023-01-19 23:25:53.483 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
2023-01-19 23:25:53.484 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
2023-01-19 23:25:53.485 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
2023-01-19 23:25:53.485 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
2023-01-19 23:25:53.486 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
2023-01-19 23:25:53.486 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
2023-01-19 23:25:53.487 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
2023-01-19 23:25:53.487 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
2023-01-19 23:25:53.487 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
2023-01-19 23:25:53.488 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
2023-01-19 23:25:53.489 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
2023-01-19 23:25:53.489 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
2023-01-19 23:25:53.490 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
2023-01-19 23:25:53.491 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
2023-01-19 23:25:53.496 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
2023-01-19 23:25:53.498 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
2023-01-19 23:25:53.499 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
2023-01-19 23:25:53.501 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
2023-01-19 23:25:53.501 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
2023-01-19 23:25:53.502 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
2023-01-19 23:25:53.503 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
2023-01-19 23:25:53.504 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
2023-01-19 23:25:53.505 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
2023-01-19 23:25:53.506 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
2023-01-19 23:25:53.600 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
2023-01-19 23:25:53.600 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
2023-01-19 23:25:53.601 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
2023-01-19 23:25:53.602 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
2023-01-19 23:25:53.603 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
2023-01-19 23:25:53.604 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
2023-01-19 23:25:53.604 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
2023-01-19 23:25:53.606 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
2023-01-19 23:25:53.606 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
2023-01-19 23:25:53.606 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
